World Rank,University Name,Country,National Rank,Total Score
1,Harvard University,us.png,1,100.0
2,Stanford University,us.png,2,74.8
3,Massachusetts Institute of Technology (MIT),us.png,3,69.1
4,University of Cambridge,gb.png,1,67.9
5,"University of California, Berkeley",us.png,4,63.4
6,Princeton University,us.png,5,60.1
7,University of Oxford,gb.png,2,59.5
8,Columbia University,us.png,6,55.3
9,California Institute of Technology,us.png,7,54.5
10,University of Chicago,us.png,8,53.8
11,Yale University,us.png,9,52.2
12,Cornell University,us.png,10,50.5
13,"University of California, Los Angeles",us.png,11,48.0
14,University of Pennsylvania,us.png,12,47.7
15,Paris-Saclay University,fr.png,1,47.0
16,Johns Hopkins University,us.png,13,46.8
17,University College London,gb.png,3,45.9
18,University of Washington,us.png,14,45.4
19,"University of California, San Diego",us.png,15,44.8
20,ETH Zurich,ch.png,1,44.1
21,"University of California, San Francisco",us.png,16,44.0
22,Tsinghua University,cn.png,1,40.3
23,Imperial College London,gb.png,4,39.9
24,University of Toronto,ca.png,1,39.7
25,Washington University in St. Louis,us.png,17,39.0
26,University of Michigan-Ann Arbor,us.png,18,37.8
27,The University of Tokyo,jp.png,1,37.7
28,New York University,us.png,19,37.3
29,Peking University,cn.png,2,36.7
30,Northwestern University,us.png,20,35.8
31,University of North Carolina at Chapel Hill,us.png,21,35.7
32,University of Copenhagen,dk.png,1,35.2
33,Zhejiang University,cn.png,3,35.0
34,Duke University,us.png,22,34.6
35,The University of Melbourne,au.png,1,34.5
35,University of Wisconsin - Madison,us.png,23,34.5
37,Karolinska Institute,se.png,1,34.0
38,The University of Edinburgh,gb.png,5,33.9
39,Kyoto University,jp.png,2,33.3
39,Rockefeller University,us.png,24,33.3
41,PSL University,fr.png,2,33.0
41,The University of Manchester,gb.png,6,33.0
43,The University of Texas at Austin,us.png,25,32.8
44,University of British Columbia,ca.png,2,32.7
44,"University of Minnesota, Twin Cities",us.png,26,32.7
46,Shanghai Jiao Tong University,cn.png,4,32.6
46,Sorbonne University,fr.png,3,32.6
48,The University of Texas Southwestern Medical Center at Dallas,us.png,27,32.4
49,University of Geneva,ch.png,2,31.8
50,"University of Maryland, College Park",us.png,28,31.7
51,The University of Queensland,au.png,2,31.5
52,University of Illinois Urbana-Champaign,us.png,29,31.4
52,Utrecht University,nl.png,1,31.4
54,Swiss Federal Institute of Technology Lausanne,ch.png,3,31.3
55,Heidelberg University,de.png,1,31.2
56,Fudan University,cn.png,5,31.1
57,University of Colorado at Boulder,us.png,30,31.0
58,University of Southern California,us.png,31,30.8
59,King's College London,gb.png,7,30.7
59,Technical University of Munich,de.png,2,30.7
59,University of Munich,de.png,2,30.7
59,University of Zurich,ch.png,4,30.7
63,"University of California, Santa Barbara",us.png,32,30.2
64,University of Science and Technology of China,cn.png,6,30.1
65,"University of California, Irvine",us.png,33,29.8
66,Vanderbilt University,us.png,34,29.4
67,University of Bonn,de.png,4,29.3
68,Weizmann Institute of Science,il.png,1,29.2
69,Université Paris Cité,fr.png,4,29.1
70,McGill University,ca.png,3,28.9
71,National University of Singapore,sg.png,1,28.8
72,The University of New South Wales,au.png,3,28.6
73,Sun Yat-sen University,cn.png,7,28.3
73,University of Oslo,no.png,1,28.3
73,University of Sydney,au.png,4,28.3
76,University of Groningen,nl.png,2,28.1
77,Monash University,au.png,5,28.0
78,Aarhus University,dk.png,2,27.6
79,Technion-Israel Institute of Technology,il.png,2,27.4
