World Rank,University Name,Country,National Rank,Total Score
1,Harvard University,US,1,100.0
2,Stanford University,US,2,74.8
3,Massachusetts Institute of Technology MIT,US,3,69.1
4,University of Cambridge,GB,1,67.9
5,University of California Berkeley,US,4,63.4
6,Princeton University,US,5,60.1
7,University of Oxford,GB,2,59.5
8,Columbia University,US,6,55.3
9,California Institute of Technology,US,7,54.5
10,University of Chicago,US,8,53.8
11,Yale University,US,9,52.2
12,Cornell University,US,10,50.5
13,University of California Los Angeles,US,11,48.0
14,University of Pennsylvania,US,12,47.7
15,ParisSaclay University,FR,1,47.0
16,Johns Hopkins University,US,13,46.8
17,University College London,GB,3,45.9
18,University of Washington,US,14,45.4
19,University of California San Diego,US,15,44.8
20,ETH Zurich,CH,1,44.1
21,University of California San Francisco,US,16,44.0
22,Tsinghua University,CN,1,40.3
23,Imperial College London,GB,4,39.9
24,University of Toronto,CA,1,39.7
25,Washington University in St Louis,US,17,39.0
26,University of MichiganAnn Arbor,US,18,37.8
27,The University of Tokyo,JP,1,37.7
28,New York University,US,19,37.3
29,Peking University,CN,2,36.7
30,Northwestern University,US,20,35.8
31,University of North Carolina at Chapel Hill,US,21,35.7
32,University of Copenhagen,DK,1,35.2
33,Zhejiang University,CN,3,35.0
34,Duke University,US,22,34.6
35,The University of Melbourne,AU,1,34.5
36,University of Wisconsin  Madison,US,23,34.5
37,Karolinska Institute,SE,1,34.0
38,The University of Edinburgh,GB,5,33.9
39,Kyoto University,JP,2,33.3
40,Rockefeller University,US,24,33.3
41,PSL University,FR,2,33.0
42,The University of Manchester,GB,6,33.0
43,The University of Texas at Austin,US,25,32.8
44,University of British Columbia,CA,2,32.7
45,University of Minnesota Twin Cities,US,26,32.7
46,Shanghai Jiao Tong University,CN,4,32.6
47,Sorbonne University,FR,3,32.6
48,The University of Texas Southwestern Medical Center at Dallas,US,27,32.4
49,University of Geneva,CH,2,31.8
50,University of Maryland College Park,US,28,31.7
51,The University of Queensland,AU,2,31.5
52,University of Illinois UrbanaChampaign,US,29,31.4
53,Utrecht University,NL,1,31.4
54,Swiss Federal Institute of Technology Lausanne,CH,3,31.3
55,Heidelberg University,DE,1,31.2
56,Fudan University,CN,5,31.1
